 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
7000;Batumi;Ягоды Гранат Маскарпоне;Главный претендент на первое место в рейтинге необычных вкусов для самых отъявленных гурманов – нежный творожный сыр с десертной малиной. Каждый найдет в этом воздушном лакомстве что-то свое.;;3;Batumi Ягоды Гранат Маскарпоне Banger;;;;
7001;BBQ;Соус Барбекю;Кисло-сладкий вкус классического соуса BBQ теперь в твоем кальяне. Пикантный аромат сочных и мощных бургеров насытит даже самых изысканных любителей табака.;;3;BBQ Соус Барбекю Banger;;;;
7002;Berry Pie;Малиновый пирог;Поистине десертное наслаждение для самых настоящих сладкоежек. До боли знакомый вкус малинового пирога, который так неподражаемо готовила любимая бабушка.;;3;Berry Pie Малиновый пирог Banger;;;;
7003;Black and white;Печенье ОРЕО;"Знаменитое шоколадное печенье Oreo в новом невесомом формате, который не оставит равнодушным даже самого привередливого сладкоежку. Ведь нежный сбалансированный аромат кремовой начинки великолепно раскрывается в том самом классическом сочетании с песочным какао-коржиками.

Если оригинальное Oreo принято макать в молоко, то и новый вкус отлично зайдет как на воде, так и на молоке. Классика в современной обработке, не иначе.";;3;Black and white Печенье ОРЕО Banger;;;;
7004;Bluemist;Клубника Черника;Триумфальное возвращение культового вкуса Blue Mist в современной обработке. Ярко выраженный ягодный аромат клубники и черники мягко переплетается с цитрусовыми нотками грейпфрута, создавая легендарный «голубой туман».;;3;Bluemist Клубника Черника Banger;;;;
7005;Cherry Macaroon;Макарон Вишня;Частичка небесного наслаждения, воплотившаяся в сладких половинках миндальных макарон, идеально сочетающихся с кислинкой спелой вишни. Нежный кисло-сладкий микс поразит любого поклонника классического французского десерта.;;3;Cherry Macaroon Макарон Вишня Banger;;;;
7006;Cherry Plum;Алыча Вишня;Сочный вкус спелой алычи с терпкой кислинкой поможет освежить даже в самый жаркий летний день.;;3;Cherry Plum Алыча Вишня Banger;;;;
7007;Choker;Шоколад Мята;Элегантный микс нежного молочного шоколада с освежающей прохладой мяты, который придется по вкусу даже самым избалованным сладкоежкам. Такой сладки и одновременно свежий.;;3;Choker Шоколад Мята Banger;;;;
7008;Holostyak;Тропические фрукты Роза;Элегантное сочетание спелых тропических фруктов с пьянящим ароматом лепестков розы, который не оставит равнодушным ни одну девушку. Ведь каждая так или иначе получит свой заветный цветок.;;3;Holostyak Тропические фрукты Роза Banger;;;;
7009;Iron Bru;Лимонад Айрон Брю;Легендарный вкус той самой оранжевой газировки в новом формате. Традиционный цитрусовый аромат с легкой фирменной кислинкой, которая только лишь добавляет желанной терпкости.;;3;Iron Bru Лимонад Айрон Брю Banger;;;;
7010;Moscow Never Sleeps;"Ягодное Шампанское
";"Бодрящий вкус ягодного шампанского, что точно не даст уснуть в самый разгар шумной вечеринки.



Стоит раз попробовать, как насыщенный фруктово-ягодный букет навечно покорит твое сердечко едва уловимой терпкостью и кисловатыми нотками освежающего игристого, превратив любой день году в самый настоящий праздник. А какой же праздник без шампанского? Тем более, ягодного. Попробуй праздник на вкус и наслаждайся изящным миксом из спелых ягод и фруктов всю ночь напролет. Ведь сон для слабаков!";;3;"Moscow Never Sleeps Ягодное Шампанское
 Banger";;;;
7011;Orange Biscuit;Печенье Десерт Цитрус Апельсин;Нежный десертный аромат с ярко-выраженными цитрусовыми нотками станет украшением любого чаепития. Пожалуй, лучшее дополнение к ламповым посиделкам в кругу близких. Так и хочется укусить!;;3;Orange Biscuit Печенье Десерт Цитрус Апельсин Banger;;;;
7012;Papa Ya;Папайя Шоколад;Сладкий аромат экзотического фрукта с цветочным вкусом и шоколадно-кофейными нотками.;;3;Papa Ya Папайя Шоколад Banger;;;;
7013;Passion Citrus;Цитрус Маракуйя;Сногсшибательное сочетание цитруса и тропической маракуйи перевернет твой мир с ног на голову. Настолько сочно, что устоять невозможно!;;3;Passion Citrus Цитрус Маракуйя Banger;;;;
7014;Peach Maracuja;Тропические фрукты Маракуйя;Кисло-сладкий микс, специально созданный для всех ценителей тропических фруктов. Вкус завораживает игрой гастрономических оттенков: от сводящей скулы кислинки мракуйи, до сладко-пряного персикового аромата.;;3;Peach Maracuja Тропические фрукты Маракуйя Banger;;;;
7015;PineLychee;Ананас Личи;Гармоничное сочетание спелого ананаса и экзотического личи – мгновенный телепорт в жаркие тропики, где можно бесконечно наслаждаться яркими кисло-сладкими нотками свежайших фруктов.;;3;PineLychee Ананас Личи Banger;;;;
