 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
12000;Asian Mix;Азия микс;Сочетание тропических фруктов и цитрусовых с травянистыми нотами.;;3;Asian Mix Азия микс Chabacco;Chabacco;Medium;;
12001;Banana Daiquiri;Банановый Дайкири;Спелый банан с нотами ванили, дополненный каплей рома и лаймом.;;3;Banana Daiquiri Банановый Дайкири Chabacco;Chabacco;Medium;;
12002;Belgian Cider;Бельгийский сидр;Полусухой яблочный сидр с едва уловимыми нотами нежного персика.;;3;Belgian Cider Бельгийский сидр Chabacco;Chabacco;Medium;;
12003;Black Currant;Черная смородина;Кисло-сладкий травянистый аромат листа смородины с легким привкусом холодка.;;3;Black Currant Черная смородина Chabacco;Chabacco;Medium;;
12004;Blooming Garden;Цветущий Сад;Яркий аромат, в котором жасмин и роза сменяют друг друга, оставляя сладкое ягодное послевкусие.;;3;Blooming Garden Цветущий Сад Chabacco;Chabacco;Medium;;
12005;Blueberry Mint;Черника с мятой;Насыщенный сладкий аромат ягод с мятным аккордом.;;3;Blueberry Mint Черника с мятой Chabacco;Chabacco;Medium;;
12006;Cactus Mix;Кактусовый микс;Сочетание кактуса и терпкой текилы, дополненное цитрусовыми нотами.;;3;Cactus Mix Кактусовый микс Chabacco;Chabacco;Medium;;
12007;Caramel Amaretto;Карамельный амаретто;Яркий десертный аромат с нотами мягкой карамели и оттенками ликера в послевкусии.;;3;Caramel Amaretto Карамельный амаретто Chabacco;Chabacco;Medium;;
12008;Caramel Cookies;Печенье-Карамель;Десертное сочетание карамельного печенья с нотами песочного теста и ванили.;;3;Caramel Cookies Печенье-Карамель Chabacco;Chabacco;Medium;;
12009;Cherry;Вишня;Сладкая мякоть ягоды с легкой кислинкой.;;3;Cherry Вишня Chabacco;Chabacco;Medium;;
12010;Cherry Cola;Вишневая Кола;Освежающая кола с вишней и пикантным оттенком корицы.;;3;Cherry Cola Вишневая Кола Chabacco;Chabacco;Medium;;
12011;Chinese Melon;Китайская дыня;Выраженный аромат сладкой дыни, подчеркнутый цветочными тонами.;;3;Chinese Melon Китайская дыня Chabacco;Chabacco;Medium;;
12012;Cinnamon Roll;Булочка с корицей;Шведская выпечка с корицей и начинкой из мака и сахара.;;3;Cinnamon Roll Булочка с корицей Chabacco;Chabacco;Medium;;
12013;Cranberries in powdered sugar;Клюква в сахарной пудре;Сочные ягоды с кислинкой и сладким послевкусием;;3;Cranberries in powdered sugar Клюква в сахарной пудре Chabacco;Chabacco;Medium;;
12014;Creme de Coco;Кокос и сливки;Нежная мякоть кокосового ореха со сливочным кремом.;;3;Creme de Coco Кокос и сливки Chabacco;Chabacco;Medium;;
12015;Double Apple;Двойное Яблоко;Классический аромат мякоти сладких яблок и аниса.;;3;Double Apple Двойное Яблоко Chabacco;Chabacco;Medium;;
12016;Elderberry;Бузина;;;3;Elderberry Бузина Chabacco;Chabacco;Medium;;
12017;Eucalyptus;Эвкалипт;Освежающий травянистый аромат с нотами ментола.;;3;Eucalyptus Эвкалипт Chabacco;Chabacco;Medium;;
12018;Feijoa;Фейхоа;Тропический аромат сладких экзотических ягод.;;3;Feijoa Фейхоа Chabacco;Chabacco;Medium;;
12019;Flames;анис корица ментол;Легендарный аромат пряного коктейля на основе аниса, корицы и ментола.;;3;Flames Флеймс Chabacco;Chabacco;Medium;;
12020;Frosty Mint;Морозная Мята;Яркий аромат свежей мяты.;;3;Frosty Mint Морозная Мята Chabacco;Chabacco;Medium;;
12021;Grenadine Drops;Гренадин Дропс;Ультраосвежающие ментоловые леденцы на основе гранатового сиропа;;3;Grenadine Drops Гренадин Дропс Chabacco;Chabacco;Medium;;
12022;Guava;Гуава;Приятный сладкий вкус чуть терпкой гуавы.;;3;Guava Гуава Chabacco;Chabacco;Medium;;
12023;Honey;Мёд;Сладкий вкус тёмного лесного мёда с пряничными нотами.;;3;Honey Мёд Chabacco;Chabacco;Medium;;
12024;Ice Cream Cigar;Мороженое-Сигара;Сочетание ароматов кубинской сигары и ванильного мороженого.;;3;Ice Cream Cigar Мороженое-Сигара Chabacco;Chabacco;Medium;;
12025;Ice Grape;Освежающий виноград;Выраженный кисло-сладкий аромат винограда с освежающей мятой.;;3;Ice Grape Освежающий виноград Chabacco;Chabacco;Medium;;
12026;Ice Mango;Ледяное манго;Спелый тайский манго с ярко выраженным освежающим ароматом;;3;Ice Mango Ледяное манго Chabacco;Chabacco;Medium;;
12027;Indian Mango;Индийский манго;Насыщенный травянистый аромат зеленого манго со слегка сладким послевкусием.;;3;Indian Mango Индийский манго Chabacco;Chabacco;Medium;;
12028;Jackfruit;Джекфрут;Сладкий аромат мякоти тропического фрукта с легкой кислинкой.;;3;Jackfruit Джекфрут Chabacco;Chabacco;Medium;;
12029;Jasmine Tea;Жасминовый Чай;Утонченный китайский чай с насыщенным ароматом жасмина.;;3;Jasmine Tea Жасминовый Чай Chabacco;Chabacco;Medium;;
12030;Juicy Peach;Сочный Персик;Нежный аромат спелого персика с цветочными нотами.;;3;Juicy Peach Сочный Персик Chabacco;Chabacco;Medium;;
12031;Kiwi;Киви;Кисло-сладкий аромат спелого экзотического фрукта.;;3;Kiwi Киви Chabacco;Chabacco;Medium;;
12032;Lemon drop;Лимонный леденец;Кисло-сладкий вкус лимонных карамелек.;;3;Lemon drop Лимонный леденец Chabacco;Chabacco;Medium;;
12033;Lemongrass;Лемонграсс;Кисло-сладкая травянистость с легкой горчинкой лайма.;;3;Lemongrass Лемонграсс Chabacco;Chabacco;Medium;;
12034;Lemon-Lime;Лимон-Лайм;Кисло-сладкий микс лимона и лайма.;;3;Lemon-Lime Лимон-Лайм Chabacco;Chabacco;Medium;;
12035;Lychee bisque;Личи;Тропический аромат спелого фрукта.;;3;Lychee bisque Личи Chabacco;Chabacco;Medium;;
12036;Melissa and berries;Мелисса с ягодами;Освежающий травянистый вкус мелиссы с нотами кисло-сладких ягод, аниса и холодка.;;3;Melissa and berries Мелисса с ягодами Chabacco;Chabacco;Medium;;
12037;Milk Oolong;Молочный Улун;Знаменитый вкус китайского чая со сливочно-карамельным ароматом.;;3;Milk Oolong Молочный Улун Chabacco;Chabacco;Medium;;
12038;Mumbai Tea;Чай Мумбаи;Аромат знаменитого масала чая с характерными пряными нотами и сливочным послевкусием;;3;Mumbai Tea Чай Мумбаи Chabacco;Chabacco;Medium;;
12039;Northern Berries;Северные Ягоды;Кисло-сладкий микс ягод морошки, клюквы и брусники.;;3;Northern Berries Северные Ягоды Chabacco;Chabacco;Medium;;
12040;Olympic Gummy Bear;кивано маракуйя персик;Яркий аромат тропического сока с выраженной кислинкой и нотами кивано, маракуйи и персика.;;3;Olympic Gummy Bear Олимпийский мишка Chabacco;Chabacco;Medium;;
12041;Passion Fruit;Маракуйя;Яркий кисло-сладкий вкус тропического фрукта.;;3;Passion Fruit Маракуйя Chabacco;Chabacco;Medium;;
12042;Pomegranate;Гранат;Кисло-сладкий аромат гранатовых зерен с выраженной терпкостью.;;3;Pomegranate Гранат Chabacco;Chabacco;Medium;;
12043;Pomelo;Помело;Кисло-сладкий цитрусовый аромат, раскрывающийся легкой горчинкой.;;3;Pomelo Помело Chabacco;Chabacco;Medium;;
12044;Pumpkin Pie;Тыквенный пирог;Сладкая тыква в сочетании с миндалем, сливками и нотами корицы.;;3;Pumpkin Pie Тыквенный пирог Chabacco;Chabacco;Medium;;
12045;Red Currant;Красная смородина;Освежающий ягодный аромат с приятной кислинкой.;;3;Red Currant Красная смородина Chabacco;Chabacco;Medium;;
12046;Red Sorbet;Красный сорбет;Сливочно-карамельный аромат сорбета с фруктово-ягодным оттенком и нотами каркаде.;;3;Red Sorbet Красный сорбет Chabacco;Chabacco;Medium;;
12047;Rhubarb dessert;Ревеневый десерт;Классический английский десерт с воздушным кремом и корнем ревеня.;;3;Rhubarb dessert Ревеневый десерт Chabacco;Chabacco;Medium;;
12048;Rum Lady Muff;Ром-баба;Нежный кекс, пропитанный ромовым сиропом.;;3;Rum Lady Muff Ром-баба Chabacco;Chabacco;Medium;;
12049;Strawberry Mojito;Клубничный мохито;Аромат знаменитого коктейля на основе свежей клубники с добавлением лайма и мяты.;;3;Strawberry Mojito Клубничный мохито Chabacco;Chabacco;Medium;;
12050;Summer Lemonade;Летний лимонад;Кисло-сладкая газировка с заметными огуречными нотами.;;3;Summer Lemonade Летний лимонад Chabacco;Chabacco;Medium;;
12051;Watermelon Gum;Арбузная Жвачка;Освежающий аромат жевательной резинки с насыщенным сочным вкусом арбуза;;3;Watermelon Gum Арбузная Жвачка Chabacco;Chabacco;Medium;;
12052;White Apple;Белое яблоко;Аромат садового яблока со сливочно-медовыми нотами.;;3;White Apple Белое яблоко Chabacco;Chabacco;Medium;;
12053;White Wine;Белое вино;Кисло-сладкий аромат охлажденного белого вина;;3;White Wine Белое вино Chabacco;Chabacco;Medium;;
12054;Asian Mix;Азия микс;Сочетание тропических фруктов и цитрусовых с травянистыми нотами.;;5;Asian Mix Азия микс Chabacco;Chabacco;Strong;;
12055;Banana Daiquiri;Банановый Дайкири;Спелый банан с нотами ванили, дополненный каплей рома и лаймом.;;5;Banana Daiquiri Банановый Дайкири Chabacco;Chabacco;Strong;;
12056;Belgian Cider;Бельгийский сидр;Полусухой яблочный сидр с едва уловимыми нотами нежного персика.;;5;Belgian Cider Бельгийский сидр Chabacco;Chabacco;Strong;;
12057;Black Currant;Черная смородина;Кисло-сладкий травянистый аромат листа смородины с легким привкусом холодка.;;5;Black Currant Черная смородина Chabacco;Chabacco;Strong;;
12058;Blueberry Mint;Черника с мятой;Насыщенный сладкий аромат ягод с мятным аккордом.;;5;Blueberry Mint Черника с мятой Chabacco;Chabacco;Strong;;
12059;Cactus Mix;Кактусовый микс;Сочетание кактуса и терпкой текилы, дополненное цитрусовыми нотами.;;5;Cactus Mix Кактусовый микс Chabacco;Chabacco;Strong;;
12060;Caramel Amaretto;Карамельный амаретто;Яркий десертный аромат с нотами мягкой карамели и оттенками ликера в послевкусии.;;5;Caramel Amaretto Карамельный амаретто Chabacco;Chabacco;Strong;;
12061;Caramel Cookies;Печенье-Карамель;Десертное сочетание карамельного печенья с нотами песочного теста и ванили.;;5;Caramel Cookies Печенье-Карамель Chabacco;Chabacco;Strong;;
12062;Cherry;Вишня;Сладкая мякоть ягоды с легкой кислинкой.;;5;Cherry Вишня Chabacco;Chabacco;Strong;;
12063;Cherry Cola;Вишневая Кола;Освежающая кола с вишней и пикантным оттенком корицы.;;5;Cherry Cola Вишневая Кола Chabacco;Chabacco;Strong;;
12064;Chinese Melon;Китайская дыня;Выраженный аромат сладкой дыни, подчеркнутый цветочными тонами.;;5;Chinese Melon Китайская дыня Chabacco;Chabacco;Strong;;
12065;Cranberries in powdered sugar;Клюква в сахарной пудре;Сочные ягоды с кислинкой и сладким послевкусием;;5;Cranberries in powdered sugar Клюква в сахарной пудре Chabacco;Chabacco;Strong;;
12066;Creme de Coco;Кокос и сливки;Нежная мякоть кокосового ореха со сливочным кремом.;;5;Creme de Coco Кокос и сливки Chabacco;Chabacco;Strong;;
12067;Elderberry;Бузина;;;5;Elderberry Бузина Chabacco;Chabacco;Strong;;
12068;Feijoa;Фейхоа;Тропический аромат сладких экзотических ягод.;;5;Feijoa Фейхоа Chabacco;Chabacco;Strong;;
12069;Grenadine Drops;Гренадин Дропс;Ультраосвежающие ментоловые леденцы на основе гранатового сиропа;;5;Grenadine Drops Гренадин Дропс Chabacco;Chabacco;Strong;;
12070;Ice Cream Cigar;Мороженое-Сигара;Сочетание ароматов кубинской сигары и ванильного мороженого.;;5;Ice Cream Cigar Мороженое-Сигара Chabacco;Chabacco;Strong;;
12071;Ice Grape;Освежающий виноград;Выраженный кисло-сладкий аромат винограда с освежающей мятой.;;5;Ice Grape Освежающий виноград Chabacco;Chabacco;Strong;;
12072;Ice Mango;Ледяное манго;Спелый тайский манго с ярко выраженным освежающим ароматом;;5;Ice Mango Ледяное манго Chabacco;Chabacco;Strong;;
12073;Indian Mango;Индийский манго;Насыщенный травянистый аромат зеленого манго со слегка сладким послевкусием.;;5;Indian Mango Индийский манго Chabacco;Chabacco;Strong;;
12074;Jackfruit;Джекфрут;Сладкий аромат мякоти тропического фрукта с легкой кислинкой.;;5;Jackfruit Джекфрут Chabacco;Chabacco;Strong;;
12075;Juicy Peach;Сочный Персик;Нежный аромат спелого персика с цветочными нотами.;;5;Juicy Peach Сочный Персик Chabacco;Chabacco;Strong;;
12076;Kiwi;Киви;Кисло-сладкий аромат спелого экзотического фрукта.;;5;Kiwi Киви Chabacco;Chabacco;Strong;;
12077;Lemon drop;Лимонный леденец;Кисло-сладкий вкус лимонных карамелек.;;5;Lemon drop Лимонный леденец Chabacco;Chabacco;Strong;;
12078;Lemongrass;Лемонграсс;Кисло-сладкая травянистость с легкой горчинкой лайма.;;5;Lemongrass Лемонграсс Chabacco;Chabacco;Strong;;
12079;Lemon-Lime;Лимон-Лайм;Кисло-сладкий микс лимона и лайма.;;5;Lemon-Lime Лимон-Лайм Chabacco;Chabacco;Strong;;
12080;Melissa and berries;Мелисса с ягодами;Освежающий травянистый вкус мелиссы с нотами кисло-сладких ягод, аниса и холодка.;;5;Melissa and berries Мелисса с ягодами Chabacco;Chabacco;Strong;;
12081;Milk Oolong;Молочный Улун;Знаменитый вкус китайского чая со сливочно-карамельным ароматом.;;5;Milk Oolong Молочный Улун Chabacco;Chabacco;Strong;;
12082;Mumbai Tea;Чай Мумбаи;Аромат знаменитого масала чая с характерными пряными нотами и сливочным послевкусием;;5;Mumbai Tea Чай Мумбаи Chabacco;Chabacco;Strong;;
12083;Northern Berries;Северные Ягоды;Кисло-сладкий микс ягод морошки, клюквы и брусники.;;5;Northern Berries Северные Ягоды Chabacco;Chabacco;Strong;;
12084;Olympic Gummy Bear;кивано маракуйя персик;Яркий аромат тропического сока с выраженной кислинкой и нотами кивано, маракуйи и персика.;;5;Olympic Gummy Bear Олимпийский мишка Chabacco;Chabacco;Strong;;
12085;Passion Fruit;Маракуйя;Яркий кисло-сладкий вкус тропического фрукта.;;5;Passion Fruit Маракуйя Chabacco;Chabacco;Strong;;
12086;Pomegranate;Гранат;Кисло-сладкий аромат гранатовых зерен с выраженной терпкостью.;;5;Pomegranate Гранат Chabacco;Chabacco;Strong;;
12087;Pomelo;Помело;Кисло-сладкий цитрусовый аромат, раскрывающийся легкой горчинкой.;;5;Pomelo Помело Chabacco;Chabacco;Strong;;
