 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
25000;APPLE DROPS;яблочные конфеты;Сочный натуральный вкус сладких свежих яблочных конфет, тающих во рту.;;3;APPLE DROPS яблочные конфеты Must Have;Must Have;;;
25001;ARARAM;арбуз виноград чернослив мята;Восхитительное сочетание сладкого арбуза, сочного винограда и ароматного чернослива, приправленное листьями мяты.;;3;ARARAM арбуз виноград чернослив мята Must Have;Must Have;;;
25002;BAIKAL;лесные травы хвоя;Благородная сложная комбинация лесных трав окутанная ароматами хвойных лесов.;;3;BAIKAL лесные травы хвоя Must Have;Must Have;;;
25003;BANANA MAMA;банан;Сладкий восхитительный насыщенный аромат южноамериканского банана.;;3;BANANA MAMA банан Must Have;Must Have;;;
25004;BARBERRY CANDY;конфета барбарис;Ностальгический насыщенный сладкий вкус любимой барбарисовой конфеты из детства.;;3;BARBERRY CANDY конфета барбарис Must Have;Must Have;;;
25005;BERRY HOLLS;лесные ягоды эвкалипт;Восхитительный освежающий аромат свежих лесных ягод, приправленный холодным дыханием эвкалипта.;;3;BERRY HOLLS лесные ягоды эвкалипт Must Have;Must Have;;;
25006;BLACK CURRANT;смородина;Яркий вкус cочной спелой садовой смородины только что собранной с куста.;;3;BLACK CURRANT смородина Must Have;Must Have;;;
25007;BLACKBERRY;ежевика;Пьянящий насыщенный аромат спелой ежевики, созревшей под лучами южного солнца.;;3;BLACKBERRY ежевика Must Have;Must Have;;;
25008;BLUEBERRY;черника йогурт;Сочный вкус черники, оставляющий приятное ягодное послевкусие с нотками йогурта.;;3;BLUEBERRY черника йогурт Must Have;Must Have;;;
25009;CANDY COW;карамель конфеты;Сладкий, насыщенный аромат сливочной карамели, напоминающий любимый вкус конфет из детства.;;3;CANDY COW карамель конфеты Must Have;Must Have;;;
25010;CARIBBEAN RUM;ром;Благородный вкус рома, изготовленного на тростниковых плантациях под жарким карибским солнцем.;;3;CARIBBEAN RUM ром Must Have;Must Have;;;
25011;CHARLOTTE PIE;тесто карамельное яблоко;Десертный вкус горячего сдобного теста с начинкой из карамельного яблока.;;3;CHARLOTTE PIE тесто карамельное яблоко Must Have;Must Have;;;
25012;CHERRY-COLA;кола вишня;Кисло-сладкий, меняющийся в процессе, микс на основе колы, сдобренной мякотью дикой кислой и сладкой садовой вишни.;;3;CHERRY-COLA кола вишня Must Have;Must Have;;;
25013;CHOCO-MINT;темный шоколад мята;Элегантное сочетание тёмного шоколада с нежным холодком мятного крема.;;3;CHOCO-MINT темный шоколад мята Must Have;Must Have;;;
25014;CHRISTMAS DRINK;шампанское;Изысканный деликатный тонкий аромат шампанского.;;3;CHRISTMAS DRINK шампанское Must Have;Must Have;;;
25015;CINNAMON;корица;Приятный пряно-сладкий тёплый бархатистый вкус ланкийской корицы.;;3;CINNAMON корица Must Have;Must Have;;;
25016;CITRUS SPRITZ;просеко апельсин;Терпкий вкус освежающего цитрусового коктейля с просеко, украшенного долькой апельсина.;;3;CITRUS SPRITZ просеко апельсин Must Have;Must Have;;;
25017;COCONUT SHAKE;кокосовый шейк;Сладкий экзотический аромат свежего кокосового шейка, смешанного в тени пальм океанического побережья.;;3;COCONUT SHAKE кокосовый шейк Must Have;Must Have;;;
25018;COLA;кола;Освежающий, по-настоящему летний аромат газированного напитка прямиком из холодильника.;;3;COLA кола Must Have;Must Have;;;
25019;COOKIE;шоколадное печенье;Сладкий аромат хрустящего песочного шоколадного печенья со сливочной начинкой.;;3;COOKIE шоколадное печенье Must Have;Must Have;;;
25020;CRANBERRY;клюква;Терпкий изысканный аромат спелой северной клюквы, собранной в диких лесах Карелии.;;3;CRANBERRY клюква Must Have;Must Have;;;
25021;CUCUNADE;огуречный лимонад лимон мята;Освежающий, яркий вкус лимонада на основе огуречного сиропа, долек свежего лимона и листьев перечной мяты.;;3;CUCUNADE огуречный лимонад лимон мята Must Have;Must Have;;;
25022;ESTRAGON;тархун;Освежающий аромат любимого с детства напитка «Тархун» с тонким вкусом свежего эстрагона.;;3;ESTRAGON тархун Must Have;Must Have;;;
25023;FEIJOA;фейхоа;Упоительный терпкий аромат спелого фейхоа, заботливо выращенного под благодатным солнцем юга.;;3;FEIJOA фейхоа Must Have;Must Have;;;
25024;FIZZY DIZZY;игристое и барбарис;Вкус игристого напитка, приправленного кисло-сладкими нотками барбариса.;;3;FIZZY DIZZY игристое и барбарис Must Have;Must Have;;;
25025;FOREST BERRIES;лечные ягоды ежевика;Бархатная композиция свежих лесных ягод с ярко выраженными оттенками ежевики во вкусе.;;3;FOREST BERRIES лесные ягоды ежевика Must Have;Must Have;;;
25026;FROSTY;холод;Восхитительно бодрящий и освежающий, как глоток морозного утреннего воздуха после длительного снегопада.;;3;FROSTY холод Must Have;Must Have;;;
25027;GOOSEBERRY;крыжовник;Яркий вкус спелых ягод крыжовника с характерной вязкостью и кислинкой.;;3;GOOSEBERRY крыжовник Must Have;Must Have;;;
25028;GRAPEFRUIT;грейпфрут;Кисло-сладкий микс оранжевого и розового грейпфрута.;;3;GRAPEFRUIT грейпфрут Must Have;Must Have;;;
25029;HONEY HOLLS;мед с холодом;Освежающий вкус морозного зимнего дня, с согревающим ароматом терпкого сладкого меда.;;3;HONEY HOLLS мед с холодом Must Have;Must Have;;;
25030;ICE CREAM;сливочный пломбир;Невероятно нежный вкус настоящего пломбира с мягким, сливочным послевкусием.;;3;ICE CREAM сливочный пломбир Must Have;Must Have;;;
25031;ICE MINT;жевательная резинка мята;Яркий вкус мятной жевательной резинки с насыщенным охлаждающим эффектом.;;3;ICE MINT жевательная резинка мята Must Have;Must Have;;;
25032;KIWI SMOOTHIE;киви мята яблоко;Интригующий кисло-сладкий вкус австралийского киви, сдобренный перечной мятой и яблочным соком.;;3;KIWI SMOOTHIE киви мята яблоко Must Have;Must Have;;;
25033;LEMON PIE;пирог с лимоном;Нежный вкус теплого домашнего пирога с бодрящими кислыми нотками свежего лимона.;;3;LEMON PIE пирог с лимоном Must Have;Must Have;;;
25034;LEMON-LIME;лайм лимон;Цитрусовый кисло-сладкий микс на основе спелого лайма и долек сочного сицилийского лимона.;;3;LEMON-LIME лайм лимон Must Have;Must Have;;;
25035;MAD PEAR;груша;Насыщенный сладкий вкус ароматного грушевого нектара.;;3;MAD PEAR груша Must Have;Must Have;;;
25036;MANDARIN;мандарин;Сладкий и согревающий аромат цитрусовых долек мандарина.;;3;MANDARIN мандарин Must Have;Must Have;;;
25037;MANGO SLING;манго мята;Вкус освежающего лимонада на основе тайского манго, сдобренного пряностями и мятой.;;3;MANGO SLING манго мята Must Have;Must Have;;;
25038;MAPLE PECAN;слоеное тесто клиновый сироп пекан;Теплое, ароматное сочетание слоеного теста, кленового сиропа и вкуса ореха пекан.;;3;MAPLE PECAN слоеное тесто клиновый сироп пекан Must Have;Must Have;;;
25039;MARULA;марула;Сладкий, сложный вкус экзотического фрукта Марула, произрастающего в Африке.;;3;MARULA марула Must Have;Must Have;;;
25040;MASALA TEA;пряный чай;Чарующий волшебный аромат сладкого пряного чайного напитка с тонкими нотами восточных пряностей.;;3;MASALA TEA пряный чай Must Have;Must Have;;;
25041;MELONADE;дыня арбуp барбарис;Яркий вкус лимонада на основе арбузного сока, долек сочной спелой дыни и барбарисового сиропа.;;3;MELONADE дыня арбуз барбарис Must Have;Must Have;;;
25042;MILKY RICE;молочная рисовая каша;Удивительно нежный тонкий ностальгический аромат сладкой молочной рисовой каши.;;3;MILKY RICE молочная рисовая каша Must Have;Must Have;;;
25043;MOROCCO;цитрусовый чай;Тонкий согревающий аромат традиционного марокканского цитрусового чая со специями.;;3;MOROCCO цитрусовый чай Must Have;Must Have;;;
25044;MULLED WINE;вино апельсин яблоко;Вкус подогретого, сдобренного специями, красного полусладкого вина, смешанного с дольками апельсина и яблок.;;3;MULLED WINE вино апельсин яблоко Must Have;Must Have;;;
25045;NORD STAR;вишня;Возбуждающе бодрящий кисло-сладкий вкус вишни североамериканского сорта Nord Star.;;3;NORD STAR вишня Must Have;Must Have;;;
25046;ORANGE TEAM;апельсин мандарин;Выраженное натуральное кисло-сладкое сочетание апельсина и мандарина.;;3;ORANGE TEAM апельсин мандарин Must Have;Must Have;;;
25047;PARADISE;банан карамель кокос;Экстравагантный вкус обжаренного в карамели банана, приправленного кокосовой стружкой.;;3;PARADISE банан карамель кокос Must Have;Must Have;;;
25048;PEPPERMINT;перечная мята;Глубокий насыщенный вкус перечной мяты с невероятно сладким послевкусием.;;3;PEPPERMINT перечная мята Must Have;Must Have;;;
25049;PINEAPPLE RINGS;ананас;Вкус сочных сладких ананасовых колечек, маринованных в собственном соку.;;3;PINEAPPLE RINGS ананас Must Have;Must Have;;;
25050;PINKMAN;грейпфрут клубника;Микс розового грейпфрута и клубники, сдобренный малиновым сиропом.;;3;PINKMAN грейпфрут клубника Must Have;Must Have;;;
25051;PISTACHIO;фисташка;Изысканный сладковатый вкус и деликатный аромат спелой слегка обжаренной Родосской фисташки.;;3;PISTACHIO фисташка Must Have;Must Have;;;
25052;PISTACHIO CAKE;фисташковый пирог малина;Тонкий аромат знаменитого фисташкового пирога с малиной из итальянского Римини.;;3;PISTACHIO CAKE фисташковый пирог малина Must Have;Must Have;;;
25053;QUINCE;айва анис;Сладкий терпкий аромат спелой айвы идеально приправленный легкими нотами аниса.;;3;QUINCE айва анис Must Have;Must Have;;;
25054;RASPBERRY;малиновое варенье;Насыщенный натуральный сладкий вкус домашнего малинового варенья.;;3;RASPBERRY малиновое варенье Must Have;Must Have;;;
25055;RED BOMB;гранат;Роскошный терпкий букет ароматного южного граната с пикантной горчинкой в послевкусии.;;3;RED BOMB гранат Must Have;Must Have;;;
25056;ROCKETMAN;клубника содовая киви грейпфрут;Яркий, освежающий вкус клубничной содовой, сдобренной дольками киви и грейпфрута.;;3;ROCKETMAN клубника содовая киви грейпфрут Must Have;Must Have;;;
