 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
;Agava Cactus;Кактус;"Освежающий вкус кислого кактуса с нотками сладких тропических фруктов и душистых трав. Приятная кислинка и ненавязчивая сладостью Agava Cactus придется по душе всем ценителям травянистых вкусов. Отличается от других аналогичных ароматов на рынке мягкостью и приятными сладко-травянистыми нотами. Отлично подойдёт как для курения в чистом виде, так ягодных, цитрусовых и пряных сочетаниях ароматов.
";;4;;;;;
;Apple Strudel;Яблоко Штрудель Сдоба;"Насыщенный аромат яблочного штруделя, приготовленного по традиционному австрийскому рецепту из хрустящего слоеного теста с начинкой из кисло-сладких яблок. В миксах отлично сочетается со сливочными и ягодными вкусами.
";;4;;;;;
;Basil Strawberry;Клубника Базилик;"Аромат традиционного летнего лимонада с листиками свежего базилика и кусочками спелой клубники. Насыщенность базилика вместе с ненавязчивым вкусом кисло-сладкой клубники перенесет вас в лучшие летние деньки.
";;4;;;;;
;Bergatea;Чай с бергамотом;"Утонченный вкус свежезаваренного черного чая с добавлением листьев бергамота. Освежающий и терпкий вкус с легкой кислинкой, способен по-разному раскрывать себя на низкой и высокой температуре. Отлично подойдет для травянистых, цитрусовых и гастрономических сочетаний, но также прекрасно показывает себя в соло.
";;4;;;;;
;Berry Drink;Морс Лесные ягоды;"Ягодный рай на даче у бабушки - именно такие ассоциации возникают, когда вы попробуете вкус ягодного морса. Сочетание всевозможных садовых ягод создает неповторимый аромат домашнего морса с ненавязчивой кислинкой, которая только добавляет этому напитку пикантности. При прокуре в соло вы получите готовый вкус домашнего напитка, а добавляя его в миксы ощутите яркое разнообразие садовых ягод.
";;4;;;;;
;Blue Berry;Черника;"Классический вкус спелой лесной черники. Яркий и насыщенный ягодный аромат с легкой кислинкой и травянистыми нотками, который будет становиться слаще при повышении температуры. Один из самых популярных вкусов в современной интерпретации. Будет идеально сочетаться с ягодными, цитрусовыми и свежими ароматами.
";;4;;;;;
;Blue Gum;Эвкалипт;"Насыщенный вкус вечнозеленого эвкалипта. В зависимости от температурного режима Blue Gum может обладать приятной сладостью и свежестью. За счет того, что аромат не имеет привкуса мяты, его можно приятно курить в чистом виде. Отлично сочетаться с кислыми, ягодными, травянистыми и чайными ароматами. 
";;4;;;;;
;Brazilian Tea;Чай лимон;"Вкус свежезаваренного зеленого чая и освежающего лайма с выраженными кислыми нотками в послевкусии. В меру сладкий, травянистый вкус отлично запоминается и приятно удивит при первом знакомстве. Ненавязчивый аромат отлично курится как в чистом виде, так и приятно дополняет ягодные и экзотические сочетания.
";;4;;;;;
;Caribbean Rum;Ром Алкоголь;"Пряный вкус, который стал классикой Spectrum. Caribbean Rum один из самых узнаваемых и популярных вкусов, благодаря гармоничному сочетанию сладких и пряных нот. Отлично подходит не только для создания новых миксов, но и для курения в соло. 
";;4;;;;;
;Chinese Grass;вкус с нотами трав;"Травянистый, кисло-сладкий вкус, который отлично подходит для гастрономических миксов. Насыщенный и яркий аромат, не перебивающий собой другие компоненты микса, - верное решение для создания новых оттенков, делающих Ваш микс незабываемым. 
";;4;;;;;
;Cookies&Milk;Молочное печенье;"Сливочный вкус сладкого песочного печенья с молочными нотками прямиком из детства. Легкий и ненавязчивый аромат молочного печенья является одним из самых сбалансированных десертных ароматов на рынке. Подходит для курения в чистом виде, так и для создания ягодных, фруктовых, алкогольных и десертных миксов.
";;4;;;;;
