 1-Taste_ID;2-Name_Taste;3-Taste_Rus;4-Description_Taste;5-Image_Taste;6-Strength;7-Search_Field;16-Brand-Taste;17-Line_Brand-Taste;Created;Updated
;Adjika;Аджика;"Отличное решение для тех, кто хочет поэкспериментировать и попробовать что-то необычное. Adjica прекрасно сочетается с пряными вкусами и другой гастрономией от Spectrum.
";;2;;;;;
;Agava Cactus;Кактус;"Оригинальный, освежающий, с кислинкой, ни на что не похожий и интересный вкус с присутствием сладких ноток. Agava Cactus отличается мягкостью и сливочностью, что придает ему округлость ароматики и завершенность.
";;2;;;;;
;American Peach;Персик;"Один из топовых вкусов от Spectrum. В меру сладкий, обладающий яркими ароматическими свойствами - American Peach, отлично подходит для создания самых разнообразных миксов. Вкус спелого персика от Spectrum уже успел полюбиться многим ценителям кальянов благодаря своей универсальности и ненавязчивой сладкой ноте.
";;2;;;;;
;Apple Strudel;Яблочный штрудель;"Насыщенный аромат яблочного штруделя, приготовленного по традиционному австрийскому рецепту из хрустящего слоеного теста с начинкой из кисло-сладких яблок.
";;2;;;;;
;Bacon;Бекон;"Вкус, входящий в гастрономию от Spectrum. Имеет сильную ароматическую составляющую и отлично подходит для нестандартных решений. Bacon подарит Вам новые ощущения и даст возможность прикоснуться к миру ароматов гастрономии.
";;2;;;;;
;Bang Banana;Банан;"Классический, яркий вкус банана, который отлично подходит для тропических, сладких миксов. Благодаря насыщенной, мягкой ароматике Bang Banana является одним из самых популярных вкусов в классической линейке Spectrum.
";;2;;;;;
;Barberry;Вкус барбарисовых леденцов;"Яркий, насыщенный вкус знакомый с детства. Барбарисовые леденцы отлично подходят для создания сладких и интересных миксов. Неприторная сладость барбариса подарит Вашему кальяну новые нотки, которые гармонично дополнят общую ароматику.
";;2;;;;;
;Basil Strawberry;Лимонад клубника базилик;"Аромат традиционного летнего лимонада с листиками свежего базилика и кусочками спелой клубники. Насыщенность базилика вместе с ненавязчивым вкусом кисло-сладкой клубники перенесет вас в лучшие летние деньки.
";;2;;;;;
;Bergatea;Чай с бергамотом;"Вкус утонченного чая с бергамотом. Терпкий и пряный, многогранный и освежающий. Bergatea отлично подходит для травянистых, гастрономических миксов и прекрасно курится в соло.
";;2;;;;;
;Berry Drink;Морс из лесных ягод;"Ягодный рай на даче у бабушки - именно такие ассоциации возникают, когда вы попробуете вкус ягодного морса. Сочетание всевозможных садовых ягод создает неповторимый аромат домашнего морса с ненавязчивой кислинкой, которая только добавляет этому напитку пикантности. При прокуре в соло вы получите готовый вкус домашнего напитка, а добавляя его в миксы ощутите яркое разнообразие садовых ягод.
";;2;;;;;
;Blue Berry;Свежий вкус черники;"Популярный черничный вкус в исполнении Spectrum. Обладает умеренной сладостью и ярким ароматом.
";;2;;;;;
;Blue Gum;Эвкалипт;"Вкус свежего, вечнозеленого эвкалипта. Blue Gum обладает приятной сладостью и свежестью, но не имеет привкуса мяты. Эвкалипт может украсить любой микс, а благодаря сладкой составляющей прекрасно курится в соло. 
";;2;;;;;
;Brazilian Tea;Свежий аромат чая с лаймом;"Чайный аромат с кислинкой на заднем фоне, который отлично курится как в соло, так и в миксах. В меру сладкий, травянистый вкус отлично запоминается и приятно удивляет при первом знакомстве. 
";;2;;;;;
;Caribbean Rum;Аромат пряного карибского рома;"Пряный вкус, который стал классикой Spectrum. Caribbean Rum один из самых узнаваемых и популярных вкусов, благодаря гармоничному сочетанию сладких и пряных нот. Отлично подходит не только для создания новых миксов, но и для курения в соло. 
";;2;;;;;
;Chicken ramen;Рамен с курицей;"Классический японский суп с лапшой,
с добавлением пряной курицы";;2;;;;;
